Title,Link,Date Posted,Company,Location,Salary,Job Type
Test Engineer,https://findajob.dwp.gov.uk/details/18224763,22 April 2026,MTS,"Acton, West London","£36,000 to £38,000 per year",On-site only
Technical Author,https://findajob.dwp.gov.uk/details/18135800,02 April 2026,Morson Talent,DT2 8ZB,Not specified,On-site only
Training Delivery Instructor - Mechanical Engineering,https://findajob.dwp.gov.uk/details/18187469,15 April 2026,Capita plc,PO12 3BY,Not specified,On-site only
Compliance Project Manager/ SAP,https://findajob.dwp.gov.uk/details/18191266,15 April 2026,J Murphy & Sons,"Cannock, WS11 0FD",£40000-90000 per annum,Permanent
Training Delivery Instructor - Mechanical Engineering,https://findajob.dwp.gov.uk/details/18199777,17 April 2026,Capita plc,PO12 3BY,Not specified,On-site only
Cyber Engineer – Cyber Innovation Hub,https://findajob.dwp.gov.uk/details/18223814,22 April 2026,Cardiff University,"Cardiff, Cardiff County","£28,031 to £31,236 per year",On-site only
Process Engineer - One Alliance,https://findajob.dwp.gov.uk/details/18207087,19 April 2026,Mott MacDonald,"Peterborough, PE3 6WT",Not specified,Permanent
Systems Engineer,https://findajob.dwp.gov.uk/details/18225579,22 April 2026,New Appointments Group Ltd,"Canterbury, Kent, CT3 3FS",Not specified,Permanent
CMM Programmer,https://findajob.dwp.gov.uk/details/18238865,24 April 2026,Staffline,GL51 4TQ,"£40,000 to £48,000 per year",On-site only
Mechanical Engineer,https://findajob.dwp.gov.uk/details/18168102,10 April 2026,Richmond and Wandsworth Councils,"Wandsworth, London, SW18 2PU","£48,873 to £62,451 per year",Permanent
CNC Machinist / Setter / Operator / Miller / Turner / Programmer,https://findajob.dwp.gov.uk/details/18153669,08 April 2026,AWD online,"Sutton-In-Ashfield, Nottinghamshire",Not specified,On-site only
User Researchers - Contractors Inside IR35,https://findajob.dwp.gov.uk/details/18228564,23 April 2026,Hippo Digital,"Leeds, Yorkshire, LS1 4HT",£475 to £525 per day,Hybrid remote
Scheduler / Coordinator,https://findajob.dwp.gov.uk/details/18263569,29 April 2026,Hays Specialist Recruitment,"Cardiff, Cardiff, CF10 5BT",£117.0 per day,Temporary
Multi Skilled Maintenance Engineer (Electrical Bias),https://findajob.dwp.gov.uk/details/18254884,28 April 2026,AWD online,"Hyde, Greater Manchester","£45,000 to £47,000 per year",On-site only
Jet Engine Trend Analysis Manager,https://findajob.dwp.gov.uk/details/18210801,20 April 2026,Spectro | Jet-Care,RG29 1AB,"£45,000 per year",On-site only
Trainee HGV Mechanic (LGV / Vehicle Technician),https://findajob.dwp.gov.uk/details/18238881,24 April 2026,AWD online,"Coventry, West Midlands",Not specified,On-site only
CNC Programmer / 5 Axis,https://findajob.dwp.gov.uk/details/18144281,07 April 2026,AWD online,"Sutton-In-Ashfield, Nottinghamshire",Not specified,On-site only
Graduate Process Design Engineer,https://findajob.dwp.gov.uk/details/18176414,13 April 2026,GI Group Main Account,"Fareham, Hampshire, PO15 7AF","£32,000 per year",Permanent
Mobile Multi Skilled Engineer - Electrical Engineer Bias,https://findajob.dwp.gov.uk/details/18212788,20 April 2026,Mitie,MK9 1EN,Not specified,Permanent
Senior User Researcher,https://findajob.dwp.gov.uk/details/18192462,16 April 2026,Hippo Digital,"London, London, WC1R 4PS","£57,000 to £64,000 per year",Permanent
Intermediate User Researcher,https://findajob.dwp.gov.uk/details/18192464,16 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£38,000 to £47,000 per year",Permanent
Senior Agile Delivery Manager,https://findajob.dwp.gov.uk/details/18192465,16 April 2026,Hippo Digital,"Leeds, Yorkshire, LS1 4HT","£57,000 to £64,000 per year",Permanent
Academic Trainer - Engineering,https://findajob.dwp.gov.uk/details/18143300,07 April 2026,Capita plc,PO12 3BY,Not specified,On-site only
Graduate Engineer,https://findajob.dwp.gov.uk/details/18180014,14 April 2026,Capita plc,PO12 3BY,Not specified,On-site only
Mechanical Systems Installation Design Engineer,https://findajob.dwp.gov.uk/details/18204897,17 April 2026,Morson Talent,BS34 7PA,Not specified,On-site only
Electrical & Mechanical Process Engineer - Projects,https://findajob.dwp.gov.uk/details/18252599,28 April 2026,Micronclean Ltd,"Louth, LN11 0LS","£44,000 to £48,500 p.a.",Permanent
