title,experience_level,company,location,city,date_posted,salary,link,job_type
Data Engineer (Spark/ Kubernetes) (Financial Services),Entry-Level,Hays Specialist Recruitment,"London, London, EC2V 6DN",London,2026-04-29,£625.0 to £745.0 per day,https://findajob.dwp.gov.uk/details/18264254,Contract
Data Engineer (Spark/ Kubernetes) (Financial Services),Entry-Level,Hays Specialist Recruitment,"City of London, London, EC2V 6DN",City of London,2026-04-16,£550.0 to £700.0 per day,https://findajob.dwp.gov.uk/details/18193394,Contract
Data Analyst/ Data Engineer - KPI Dashboard,Entry-Level,Hays Specialist Recruitment,"Uxbridge, London, UB7 0GB",Uxbridge,2026-04-24,Not specified,https://findajob.dwp.gov.uk/details/18240525,Contract
Senior Data Engineer | Northern Care Alliance NHS Foundation Trust,Senior,Salford Royal NHS Foundation Trust,"Salford, M6 8HP",Salford,2026-04-30,"£49,387 - £56,515 per annum",https://findajob.dwp.gov.uk/details/18270563,Permanent
Data Centre Engineer,Entry-Level,Get Staffed Online Recruitment Limited,"Dartford, DA2 6QL",Dartford,2026-04-20,"£25,750 to £30,000 per year",https://findajob.dwp.gov.uk/details/18212479,On-site only
Data Integration Engineer,Entry-Level,GlobalLogic UK&I,London,London,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/18186968,Hybrid remote
Senior Data Platform Engineer,Senior,NCC Group,"Manchester, Greater Manchester",Manchester,2026-04-01,Not specified,https://findajob.dwp.gov.uk/details/18122448,Hybrid remote
Data Product Lead Engineer,Lead,GAK ENTERPRISES LTD,"Milton Keynes, Buckinghamshire",Milton Keynes,2026-04-02,"£42,000 to £46,000 per year",https://findajob.dwp.gov.uk/details/18134360,On-site only
AWS DevOps Engineer (Data / BioTech),Entry-Level,Hays Specialist Recruitment,"Oxfordshire, OX14 4RY",Oxfordshire,2026-04-27,"£60,000 to £80,000 per year",https://findajob.dwp.gov.uk/details/18250126,Hybrid remote
"Principal Network Engineer, Data Centre",Principal,Government Recruitment,"Croydon, London",Croydon,2026-04-23,"£80,237 per year",https://findajob.dwp.gov.uk/details/18229885,Hybrid remote
"Principal Network Engineer, Data Centre",Principal,Government Recruitment,"Liverpool, Merseyside",Liverpool,2026-04-23,"£76,117 per year",https://findajob.dwp.gov.uk/details/18229888,Hybrid remote
"Principal Network Engineer, Data Centre",Principal,Government Recruitment,"Manchester, Greater Manchester",Manchester,2026-04-23,"£76,117 per year",https://findajob.dwp.gov.uk/details/18229890,Hybrid remote
Senior Software Engineer (Data & AI Enablement),Senior,University College London Hospital,"London, NW1 2PG",London,2026-04-29,"£66,274 - £73,496 per annum inclusive of HCAS",https://findajob.dwp.gov.uk/details/18263044,Contract
Senior Software Engineer (Data & AI Enablement),Senior,NHS Jobs,"London, NW1 2PG",London,2026-04-29,"£66,274.00 to £73,496.00 per year",https://findajob.dwp.gov.uk/details/18263933,Contract
DevOps Engineer - Security Data and AI Lab,Entry-Level,Lloyds Banking Group,"Edinburgh, Edinburgh, EH11 4DT",Edinburgh,2026-04-03,"£48,987 to £55,000 per year",https://findajob.dwp.gov.uk/details/18139728,Hybrid remote
DevOps Engineer - Security Data and AI Lab,Entry-Level,Lloyds Banking Group,"Manchester, Greater Manchester, M1 3HU",Manchester,2026-04-03,"£48,987 to £55,000 per year",https://findajob.dwp.gov.uk/details/18139729,Hybrid remote
DevOps Engineer - Security Data and AI Lab,Entry-Level,Lloyds Banking Group,"Leeds, West Yorkshire, LS1 4AP",Leeds,2026-04-03,"£48,987 to £55,000 per year",https://findajob.dwp.gov.uk/details/18139730,Hybrid remote
DevOps Engineer - Security Data and AI Lab,Entry-Level,Lloyds Banking Group,"Bristol, Bristol, BS1 5LF",Bristol,2026-04-03,"£48,987 to £55,000 per year",https://findajob.dwp.gov.uk/details/18139731,Hybrid remote
Data Platform Lead,Lead,inploi,"Salford, M275DA",Salford,2026-04-14,Not specified,https://findajob.dwp.gov.uk/details/18184406,Permanent
PERFORMANCE ENGINEER - (MARINE SYSTEMS DATA & ANALYTICS),Entry-Level,Spot,"Southampton, Hampshire",Southampton,2026-04-16,"£45,000 to £65,000 per year",https://findajob.dwp.gov.uk/details/18195527,Hybrid remote
Financial Crime Data & Analytics Manager,Manager,NatWest Group,"Edinburgh, EH12 1HQ",Edinburgh,2026-04-02,Not specified,https://findajob.dwp.gov.uk/details/18130062,Permanent
Senior Manager - Principal AI Engineer,Senior,KPMG UK,"Manchester, M2 3AE",Manchester,2026-04-13,Not specified,https://findajob.dwp.gov.uk/details/17855227,Permanent
Quantexa Senior Manager- Tech Lead,Senior,KPMG UK,"London, E14 5GL",London,2026-04-13,Not specified,https://findajob.dwp.gov.uk/details/17855305,Permanent
Business Intelligence Lead,Lead,inploi,"Hemel Hempstead, HP2 4YL",Hemel Hempstead,2026-04-24,Not specified,https://findajob.dwp.gov.uk/details/18240982,Permanent
Manager - Lead AI Engineer,Lead,KPMG UK,"Manchester, M2 3AE",Manchester,2026-04-13,Not specified,https://findajob.dwp.gov.uk/details/17855282,Permanent
Data Analyst,Entry-Level,Travail Employment Group,"Wellingborough, Northamptonshire, NN8 4HB",Wellingborough,2026-04-14,£16.41 per hour,https://findajob.dwp.gov.uk/details/18181958,On-site only
Data Analyst,Entry-Level,Search Consultancy LTD,"Liverpool, Merseyside, l3 9sj",Liverpool,2026-04-08,"£29,000.00 to £32,000.00 per year",https://findajob.dwp.gov.uk/details/18154498,On-site only
Data and MI Manager,Manager,Capita plc,W2 6BD,W2 6BD,2026-04-21,Not specified,https://findajob.dwp.gov.uk/details/18218959,On-site only
"Deputy Director of BI, Performance & Population Health Management | Mersey Care NHS Foundation Trust",Entry-Level,Mersey Care NHS Foundation Trust,"Liverpool, L34 1PJ",Liverpool,2026-04-28,"£112,782 - £129,783 per annum",https://findajob.dwp.gov.uk/details/18254963,Permanent
AI / ML Engineer,Entry-Level,FORGE HOLIDAY GROUP LTD,"Cheshire, CH1 3BQ",Cheshire,2026-04-28,"£80,000.00 per year",https://findajob.dwp.gov.uk/details/18255954,Permanent
Software Developer,Entry-Level,Government Recruitment,"Newcastle Upon Tyne, Tyne & Wear",Newcastle Upon Tyne,2026-04-17,"£43,760 per year",https://findajob.dwp.gov.uk/details/18202630,Hybrid remote
Software Developer,Entry-Level,Government Recruitment,"York, North Yorkshire",York,2026-04-17,"£43,760 per year",https://findajob.dwp.gov.uk/details/18202635,Hybrid remote
Software Developer,Entry-Level,Government Recruitment,"Bristol, South West England",Bristol,2026-04-17,"£43,760 per year",https://findajob.dwp.gov.uk/details/18202602,Hybrid remote
Software Developer,Entry-Level,Government Recruitment,"Glasgow, Scotland",Glasgow,2026-04-17,"£43,760 per year",https://findajob.dwp.gov.uk/details/18202609,Hybrid remote
Software Developer,Entry-Level,Government Recruitment,"Manchester, Greater Manchester",Manchester,2026-04-17,"£43,760 per year",https://findajob.dwp.gov.uk/details/18202613,Hybrid remote
Senior Data Analyst,Senior,Talent Finder,BB1 3NU,BB1 3NU,2026-04-17,"£40,000 to £50,000 per year",https://findajob.dwp.gov.uk/details/18205081,On-site only
